oid,x,y,d,theta,phi,true_d,,,
0,-10345,7034.5,-0.005714,0.40143,-2.9496,-0.00011477,,,
0,-10345,7862.1,-0.0070056,0.40143,-2.9496,-0.00013148,,,
0,-10345,8689.7,-0.0081293,0.40143,-2.9496,-0.00014369,,,
0,-10345,9517.2,-0.012869,0.40143,-2.9496,-0.00015212,,,
0,-10345,10345,-0.0052244,0.40143,-2.9496,-0.00015745,,,
0,-10345,11172,-3.94E-05,0.40143,-2.9496,-0.00016029,,,
0,-10345,12000,0.0036844,0.40143,-2.9496,-0.00016114,,,
0,-9517.2,-12000,0.0029916,0.40143,-2.9496,0.00074395,,,
0,-9517.2,-11172,0.0031379,0.40143,-2.9496,0.00079605,,,
0,-9517.2,-10345,-3.51E-05,0.40143,-2.9496,0.00084859,,,
0,-9517.2,-9517.2,0.006788,0.40143,-2.9496,0.00090007,,,
0,-9517.2,-8689.7,0.0035084,0.40143,-2.9496,0.0009485,,,
0,-9517.2,-7862.1,0.002642,0.40143,-2.9496,0.00099144,,,
0,-9517.2,-7034.5,0.0032033,0.40143,-2.9496,0.001026,,,
0,-9517.2,-6206.9,0.0022814,0.40143,-2.9496,0.0010491,,,
0,-9517.2,-5379.3,0.0016546,0.40143,-2.9496,0.0010577,,,
0,-9517.2,-4551.7,0.0035794,0.40143,-2.9496,0.0010492,,,
0,-9517.2,-3724.1,0.0027688,0.40143,-2.9496,0.001022,,,
0,-9517.2,-2896.6,0.0058159,0.40143,-2.9496,0.00097569,,,
0,-9517.2,-2069,0.0090257,0.40143,-2.9496,0.00091156,,,
0,-9517.2,-1241.4,0.004079,0.40143,-2.9496,0.0008324,,,
0,-9517.2,-413.79,0.0096943,0.40143,-2.9496,0.0007422,,,
0,-9517.2,413.79,0.0032903,0.40143,-2.9496,0.00064565,,,
0,-9517.2,1241.4,0.0020129,0.40143,-2.9496,0.00054746,,,
0,-9517.2,2069,0.0025301,0.40143,-2.9496,0.00045182,,,
0,-9517.2,2896.6,-0.00080551,0.40143,-2.9496,0.00036206,,,
0,-9517.2,3724.1,-0.0033523,0.40143,-2.9496,0.00028043,,,
0,-9517.2,4551.7,-0.0081139,0.40143,-2.9496,0.00020818,,,
0,-9517.2,5379.3,-0.015094,0.40143,-2.9496,0.00014572,,,
0,-9517.2,6206.9,-0.0090017,0.40143,-2.9496,9.28E-05,,,
0,-9517.2,7034.5,-0.013749,0.40143,-2.9496,4.87E-05,,,
0,-9517.2,7862.1,-0.0097536,0.40143,-2.9496,1.26E-05,,,
0,-9517.2,8689.7,-0.010036,0.40143,-2.9496,-1.65E-05,,,
0,-9517.2,9517.2,-0.0086865,0.40143,-2.9496,-3.96E-05,,,
0,-9517.2,10345,-0.0088411,0.40143,-2.9496,-5.78E-05,,,
0,-9517.2,11172,0.0013146,0.40143,-2.9496,-7.17E-05,,,
0,-9517.2,12000,0.002174,0.40143,-2.9496,-8.22E-05,,,
0,-8689.7,-12000,-0.0022001,0.40143,-2.9496,0.0010052,,,
0,-8689.7,-11172,0.0046094,0.40143,-2.9496,0.001093,,,
0,-8689.7,-10345,-0.00066462,0.40143,-2.9496,0.0011854,,,
0,-8689.7,-9517.2,0.0034719,0.40143,-2.9496,0.0012805,,,
0,-8689.7,-8689.7,0.0048626,0.40143,-2.9496,0.0013759,,,
0,-8689.7,-7862.1,0.00096919,0.40143,-2.9496,0.0014678,,,
0,-8689.7,-7034.5,0.011885,0.40143,-2.9496,0.0015517,,,
0,-8689.7,-6206.9,-3.58E-05,0.40143,-2.9496,0.0016219,,,
0,-8689.7,-5379.3,0.003097,0.40143,-2.9496,0.0016723,,,
0,-8689.7,-4551.7,0.011097,0.40143,-2.9496,0.001697,,,
0,-8689.7,-3724.1,0.013697,0.40143,-2.9496,0.0016912,,,
0,-8689.7,-2896.6,0.012604,0.40143,-2.9496,0.0016523,,,
0,-8689.7,-2069,0.014592,0.40143,-2.9496,0.0015804,,,
0,-8689.7,-1241.4,0.0062855,0.40143,-2.9496,0.0014788,,,
0,-8689.7,-413.79,0.0082942,0.40143,-2.9496,0.0013535,,,
0,-8689.7,413.79,0.0088773,0.40143,-2.9496,0.0012123,,,
0,-8689.7,1241.4,0.0045194,0.40143,-2.9496,0.0010636,,,
0,-8689.7,2069,0.00072267,0.40143,-2.9496,0.00091499,,,
0,-8689.7,2896.6,-0.00060409,0.40143,-2.9496,0.00077283,,,
0,-8689.7,3724.1,-0.0011343,0.40143,-2.9496,0.00064151,,,
0,-8689.7,4551.7,-0.0093601,0.40143,-2.9496,0.00052361,,,
0,-8689.7,5379.3,-0.010072,0.40143,-2.9496,0.00042021,,,
0,-8689.7,6206.9,-0.014313,0.40143,-2.9496,0.00033122,,,
0,-8689.7,7034.5,-0.0010806,0.40143,-2.9496,0.00025578,,,
0,-8689.7,7862.1,0.0045201,0.40143,-2.9496,0.00019261,,,
0,-8689.7,8689.7,-0.003906,0.40143,-2.9496,0.00014026,,,
0,-8689.7,9517.2,-0.007612,0.40143,-2.9496,9.72E-05,,,
0,-8689.7,10345,-0.0090211,0.40143,-2.9496,6.21E-05,,,
0,-8689.7,11172,-0.0063099,0.40143,-2.9496,3.36E-05,,,
0,-8689.7,12000,0.0041813,0.40143,-2.9496,1.07E-05,,,
0,-7862.1,-12000,-0.0023959,0.40143,-2.9496,0.0013146,,,
0,-7862.1,-11172,-0.0030781,0.40143,-2.9496,0.0014501,,,
0,-7862.1,-10345,0.0034178,0.40143,-2.9496,0.001597,,,
0,-7862.1,-9517.2,0.0054778,0.40143,-2.9496,0.0017538,,,
0,-7862.1,-8689.7,0.0062897,0.40143,-2.9496,0.0019174,,,
0,-7862.1,-7862.1,0.0016841,0.40143,-2.9496,0.0020829,,,
0,-7862.1,-7034.5,0.0082552,0.40143,-2.9496,0.0022433,,,
0,-7862.1,-6206.9,0.010243,0.40143,-2.9496,0.0023894,,,
0,-7862.1,-5379.3,0.010032,0.40143,-2.9496,0.00251,,,
0,-7862.1,-4551.7,0.010076,0.40143,-2.9496,0.0025935,,,
0,-7862.1,-3724.1,0.016064,0.40143,-2.9496,0.0026289,,,
0,-7862.1,-2896.6,0.014938,0.40143,-2.9496,0.0026087,,,
0,-7862.1,-2069,0.0056541,0.40143,-2.9496,0.0025302,,,
0,-7862.1,-1241.4,0.0066746,0.40143,-2.9496,0.0023971,,,
0,-7862.1,-413.79,0.00332,0.40143,-2.9496,0.0022186,,,
0,-7862.1,413.79,0.0072486,0.40143,-2.9496,0.0020082,,,
0,-7862.1,1241.4,0.007164,0.40143,-2.9496,0.0017808,,,
0,-7862.1,2069,0.0019087,0.40143,-2.9496,0.0015502,,,
0,-7862.1,2896.6,-0.00021222,0.40143,-2.9496,0.0013278,,,
0,-7862.1,3724.1,-0.00066139,0.40143,-2.9496,0.0011217,,,
0,-7862.1,4551.7,-0.004527,0.40143,-2.9496,0.00093627,,,
0,-7862.1,5379.3,-0.010143,0.40143,-2.9496,0.00077352,,,
0,-7862.1,6206.9,-0.0035164,0.40143,-2.9496,0.00063327,,,
0,-7862.1,7034.5,-0.0074291,0.40143,-2.9496,0.00051411,,,
0,-7862.1,7862.1,-0.003267,0.40143,-2.9496,0.00041396,,,
0,-7862.1,8689.7,-0.0012225,0.40143,-2.9496,0.00033043,,,
0,-7862.1,9517.2,-0.0014678,0.40143,-2.9496,0.00026119,,,
0,-7862.1,10345,-0.0077512,0.40143,-2.9496,0.00020403,,,
0,-7862.1,11172,-0.0036225,0.40143,-2.9496,0.00015699,,,
0,-7862.1,12000,0.0028566,0.40143,-2.9496,0.00011836,,,
0,-7034.5,-12000,0.0079635,0.40143,-2.9496,0.0016763,,,
0,-7034.5,-11172,0.0046387,0.40143,-2.9496,0.0018742,,,
0,-7034.5,-10345,0.00065865,0.40143,-2.9496,0.0020944,,,
0,-7034.5,-9517.2,0.0094887,0.40143,-2.9496,0.0023362,,,
0,-7034.5,-8689.7,0.0083026,0.40143,-2.9496,0.0025968,,,
0,-7034.5,-7862.1,0.011655,0.40143,-2.9496,0.0028705,,,
0,-7034.5,-7034.5,0.010714,0.40143,-2.9496,0.0031475,,,
0,-7034.5,-6206.9,0.011122,0.40143,-2.9496,0.0034135,,,
0,-7034.5,-5379.3,0.011293,0.40143,-2.9496,0.0036496,,,
0,-7034.5,-4551.7,0.013967,0.40143,-2.9496,0.0038338,,,
0,-7034.5,-3724.1,0.01757,0.40143,-2.9496,0.0039443,,,
0,-7034.5,-2896.6,0.01437,0.40143,-2.9496,0.0039633,,,
0,-7034.5,-2069,0.010122,0.40143,-2.9496,0.0038821,,,
0,-7034.5,-1241.4,0.0046826,0.40143,-2.9496,0.0037038,,,
0,-7034.5,-413.79,0.0033741,0.40143,-2.9496,0.0034434,,,
0,-7034.5,413.79,0.005727,0.40143,-2.9496,0.0031243,,,
0,-7034.5,1241.4,0.0059112,0.40143,-2.9496,0.0027733,,,
0,-7034.5,2069,0.0055003,0.40143,-2.9496,0.0024155,,,
0,-7034.5,2896.6,0.00028256,0.40143,-2.9496,0.002071,,,
0,-7034.5,3724.1,-0.0066311,0.40143,-2.9496,0.0017531,,,
0,-7034.5,4551.7,-0.0099715,0.40143,-2.9496,0.0014692,,,
0,-7034.5,5379.3,-0.0047891,0.40143,-2.9496,0.0012219,,,
0,-7034.5,6206.9,-0.0039272,0.40143,-2.9496,0.0010102,,,
0,-7034.5,7034.5,-0.0049302,0.40143,-2.9496,0.00083143,,,
0,-7034.5,7862.1,-0.0076651,0.40143,-2.9496,0.00068186,,,
0,-7034.5,8689.7,0.00014516,0.40143,-2.9496,0.00055751,,,
0,-7034.5,9517.2,-0.0014128,0.40143,-2.9496,0.00045455,,,
0,-7034.5,10345,-0.0015107,0.40143,-2.9496,0.0003695,,,
0,-7034.5,11172,0.003927,0.40143,-2.9496,0.00029933,,,
0,-7034.5,12000,0.004246,0.40143,-2.9496,0.00024146,,,
0,-6206.9,-12000,0.002625,0.40143,-2.9496,0.002093,,,
0,-6206.9,-11172,0.0027394,0.40143,-2.9496,0.0023705,,,
0,-6206.9,-10345,-0.0051181,0.40143,-2.9496,0.0026866,,,
0,-6206.9,-9517.2,0.0092184,0.40143,-2.9496,0.003043,,,
0,-6206.9,-8689.7,0.010371,0.40143,-2.9496,0.0034387,,,
0,-6206.9,-7862.1,0.003259,0.40143,-2.9496,0.003868,,,
0,-6206.9,-7034.5,0.011054,0.40143,-2.9496,0.0043188,,,
0,-6206.9,-6206.9,0.015368,0.40143,-2.9496,0.0047705,,,
0,-6206.9,-5379.3,0.0048823,0.40143,-2.9496,0.0051925,,,
0,-6206.9,-4551.7,0.013028,0.40143,-2.9496,0.0055461,,,
0,-6206.9,-3724.1,0.0082488,0.40143,-2.9496,0.005789,,,
0,-6206.9,-2896.6,0.014578,0.40143,-2.9496,0.0058839,,,
0,-6206.9,-2069,0.012012,0.40143,-2.9496,0.0058089,,,
0,-6206.9,-1241.4,0.0060509,0.40143,-2.9496,0.0055646,,,
0,-6206.9,-413.79,0.002113,0.40143,-2.9496,0.0051756,,,
0,-6206.9,413.79,0.0033955,0.40143,-2.9496,0.0046841,,,
0,-6206.9,1241.4,-0.0048231,0.40143,-2.9496,0.0041388,,,
0,-6206.9,2069,0.0059574,0.40143,-2.9496,0.0035844,,,
0,-6206.9,2896.6,0.0053602,0.40143,-2.9496,0.0030551,,,
0,-6206.9,3724.1,-0.0044572,0.40143,-2.9496,0.0025726,,,
0,-6206.9,4551.7,-0.0079836,0.40143,-2.9496,0.0021473,,,
0,-6206.9,5379.3,-0.0089169,0.40143,-2.9496,0.0017817,,,
0,-6206.9,6206.9,-0.0060353,0.40143,-2.9496,0.0014726,,,
0,-6206.9,7034.5,-0.011611,0.40143,-2.9496,0.0012144,,,
0,-6206.9,7862.1,-0.0047546,0.40143,-2.9496,0.0010004,,,
0,-6206.9,8689.7,-0.0063982,0.40143,-2.9496,0.00082394,,,
0,-6206.9,9517.2,-0.004375,0.40143,-2.9496,0.00067868,,,
0,-6206.9,10345,-0.0065282,0.40143,-2.9496,0.00055922,,,
0,-6206.9,11172,0.0014002,0.40143,-2.9496,0.00046093,,,
0,-6206.9,12000,0.0048298,0.40143,-2.9496,0.00037996,,,
0,-5379.3,-12000,0.0017979,0.40143,-2.9496,0.0025644,,,
0,-5379.3,-11172,0.0051549,0.40143,-2.9496,0.0029408,,,
0,-5379.3,-10345,0.00085764,0.40143,-2.9496,0.0033792,,,
0,-5379.3,-9517.2,0.0029149,0.40143,-2.9496,0.0038859,,,
0,-5379.3,-8689.7,0.0065751,0.40143,-2.9496,0.0044642,,,
0,-5379.3,-7862.1,0.011088,0.40143,-2.9496,0.0051116,,,
0,-5379.3,-7034.5,0.0068784,0.40143,-2.9496,0.0058154,,,
