oid,x,y,d,theta,phi,true_d,,,,
0,-10345,7862.1,-0.0064709,0.54105,-0.19199,0.0039582,,,,
0,-10345,8689.7,-0.0041719,0.54105,-0.19199,0.0035387,,,,
0,-10345,9517.2,-0.0053446,0.54105,-0.19199,0.0031605,,,,
0,-10345,10345,0.0013869,0.54105,-0.19199,0.0028217,,,,
0,-10345,11172,-0.0036729,0.54105,-0.19199,0.0025196,,,,
0,-10345,12000,-0.0010158,0.54105,-0.19199,0.002251,,,,
0,-9517.2,-12000,0.003227,0.54105,-0.19199,0.0051046,,,,
0,-9517.2,-11172,0.0021902,0.54105,-0.19199,0.0056506,,,,
0,-9517.2,-10345,0.0041696,0.54105,-0.19199,0.0062425,,,,
0,-9517.2,-9517.2,0.0044765,0.54105,-0.19199,0.006875,,,,
0,-9517.2,-8689.7,0.0040126,0.54105,-0.19199,0.0075388,,,,
0,-9517.2,-7862.1,0.016777,0.54105,-0.19199,0.0082188,,,,
0,-9517.2,-7034.5,0.01449,0.54105,-0.19199,0.008894,,,,
0,-9517.2,-6206.9,0.020601,0.54105,-0.19199,0.0095373,,,,
0,-9517.2,-5379.3,0.02188,0.54105,-0.19199,0.010117,,,,
0,-9517.2,-4551.7,0.019689,0.54105,-0.19199,0.010597,,,,
0,-9517.2,-3724.1,0.024723,0.54105,-0.19199,0.010945,,,,
0,-9517.2,-2896.6,0.023217,0.54105,-0.19199,0.011132,,,,
0,-9517.2,-2069,0.023722,0.54105,-0.19199,0.011142,,,,
0,-9517.2,-1241.4,0.016634,0.54105,-0.19199,0.01097,,,,
0,-9517.2,-413.79,0.0056399,0.54105,-0.19199,0.010627,,,,
0,-9517.2,413.79,0.01533,0.54105,-0.19199,0.010137,,,,
0,-9517.2,1241.4,0.010125,0.54105,-0.19199,0.009532,,,,
0,-9517.2,2069,0.010826,0.54105,-0.19199,0.0088486,,,,
0,-9517.2,2896.6,0.0077523,0.54105,-0.19199,0.0081228,,,,
0,-9517.2,3724.1,0.001669,0.54105,-0.19199,0.0073866,,,,
0,-9517.2,4551.7,0.0052019,0.54105,-0.19199,0.0066656,,,,
0,-9517.2,5379.3,0.0050612,0.54105,-0.19199,0.0059785,,,,
0,-9517.2,6206.9,-0.002336,0.54105,-0.19199,0.0053376,,,,
0,-9517.2,7034.5,-0.0050722,0.54105,-0.19199,0.0047496,,,,
0,-9517.2,7862.1,-0.0089184,0.54105,-0.19199,0.004217,,,,
0,-9517.2,8689.7,0.00090803,0.54105,-0.19199,0.0037395,,,,
0,-9517.2,9517.2,0.00055808,0.54105,-0.19199,0.0033143,,,,
0,-9517.2,10345,-0.0040507,0.54105,-0.19199,0.0029378,,,,
0,-9517.2,11172,-0.00098078,0.54105,-0.19199,0.0026057,,,,
0,-9517.2,12000,-0.0017495,0.54105,-0.19199,0.0023134,,,,
0,-8689.7,-12000,-0.0047072,0.54105,-0.19199,0.005466,,,,
0,-8689.7,-11172,0.0030346,0.54105,-0.19199,0.0061011,,,,
0,-8689.7,-10345,0.00091195,0.54105,-0.19199,0.0068,,,,
0,-8689.7,-9517.2,0.0039945,0.54105,-0.19199,0.007559,,,,
0,-8689.7,-8689.7,0.0041842,0.54105,-0.19199,0.0083688,,,,
0,-8689.7,-7862.1,0.0072993,0.54105,-0.19199,0.0092129,,,,
0,-8689.7,-7034.5,0.014351,0.54105,-0.19199,0.010066,,,,
0,-8689.7,-6206.9,0.012282,0.54105,-0.19199,0.010893,,,,
0,-8689.7,-5379.3,0.015744,0.54105,-0.19199,0.01165,,,,
0,-8689.7,-4551.7,0.028868,0.54105,-0.19199,0.012289,,,,
0,-8689.7,-3724.1,0.024842,0.54105,-0.19199,0.01276,,,,
0,-8689.7,-2896.6,0.017717,0.54105,-0.19199,0.01302,,,,
0,-8689.7,-2069,0.0132,0.54105,-0.19199,0.013045,,,,
0,-8689.7,-1241.4,0.017722,0.54105,-0.19199,0.012826,,,,
0,-8689.7,-413.79,0.011178,0.54105,-0.19199,0.012379,,,,
0,-8689.7,413.79,0.010308,0.54105,-0.19199,0.01174,,,,
0,-8689.7,1241.4,0.0060541,0.54105,-0.19199,0.010956,,,,
0,-8689.7,2069,0.015453,0.54105,-0.19199,0.01008,,,,
0,-8689.7,2896.6,0.01429,0.54105,-0.19199,0.0091631,,,,
0,-8689.7,3724.1,0.0060237,0.54105,-0.19199,0.0082467,,,,
0,-8689.7,4551.7,-0.0004114,0.54105,-0.19199,0.0073636,,,,
0,-8689.7,5379.3,0.0010063,0.54105,-0.19199,0.0065357,,,,
0,-8689.7,6206.9,-9.13E-05,0.54105,-0.19199,0.0057759,,,,
0,-8689.7,7034.5,0.0042841,0.54105,-0.19199,0.0050897,,,,
0,-8689.7,7862.1,0.0041481,0.54105,-0.19199,0.0044774,,,,
0,-8689.7,8689.7,-0.0042155,0.54105,-0.19199,0.003936,,,,
0,-8689.7,9517.2,-0.001239,0.54105,-0.19199,0.0034604,,,,
0,-8689.7,10345,-0.0075989,0.54105,-0.19199,0.0030443,,,,
0,-8689.7,11172,-0.0026564,0.54105,-0.19199,0.0026814,,,,
0,-8689.7,12000,-0.0066547,0.54105,-0.19199,0.0023654,,,,
0,-7862.1,-12000,-0.0032629,0.54105,-0.19199,0.0058313,,,,
0,-7862.1,-11172,-0.0026884,0.54105,-0.19199,0.0065665,,,,
0,-7862.1,-10345,0.0025015,0.54105,-0.19199,0.0073887,,,,
0,-7862.1,-9517.2,0.0073097,0.54105,-0.19199,0.0082971,,,,
0,-7862.1,-8689.7,0.01195,0.54105,-0.19199,0.0092841,,,,
0,-7862.1,-7862.1,0.0066045,0.54105,-0.19199,0.010333,,,,
0,-7862.1,-7034.5,0.011486,0.54105,-0.19199,0.011413,,,,
0,-7862.1,-6206.9,0.010943,0.54105,-0.19199,0.012482,,,,
0,-7862.1,-5379.3,0.017881,0.54105,-0.19199,0.013479,,,,
0,-7862.1,-4551.7,0.024711,0.54105,-0.19199,0.014336,,,,
0,-7862.1,-3724.1,0.027153,0.54105,-0.19199,0.01498,,,,
0,-7862.1,-2896.6,0.033527,0.54105,-0.19199,0.015347,,,,
0,-7862.1,-2069,0.027583,0.54105,-0.19199,0.015394,,,,
0,-7862.1,-1241.4,0.022855,0.54105,-0.19199,0.015111,,,,
0,-7862.1,-413.79,0.0099758,0.54105,-0.19199,0.014521,,,,
0,-7862.1,413.79,0.01717,0.54105,-0.19199,0.013676,,,,
0,-7862.1,1241.4,0.013497,0.54105,-0.19199,0.01265,,,,
0,-7862.1,2069,0.012213,0.54105,-0.19199,0.011519,,,,
0,-7862.1,2896.6,0.0047393,0.54105,-0.19199,0.010353,,,,
0,-7862.1,3724.1,0.0042129,0.54105,-0.19199,0.0092086,,,,
0,-7862.1,4551.7,0.0032492,0.54105,-0.19199,0.0081256,,,,
0,-7862.1,5379.3,-0.0092315,0.54105,-0.19199,0.0071289,,,,
0,-7862.1,6206.9,-0.0016069,0.54105,-0.19199,0.0062303,,,,
0,-7862.1,7034.5,0.00073146,0.54105,-0.19199,0.0054325,,,,
0,-7862.1,7862.1,-0.001664,0.54105,-0.19199,0.0047321,,,,
